player_name,player_slug,team_name
Gabriel Dos Santos,/en/players/67ac5bb8/Gabriel-Dos-Santos,Arsenal
Aaron Ramsdale,/en/players/466fb2c5/Aaron-Ramsdale,Arsenal
William Saliba,/en/players/972aeb2a/William-Saliba,Arsenal
Gabriel Jesus,/en/players/b66315ae/Gabriel-Jesus,Arsenal
Martinelli,/en/players/48a5a5d6/Martinelli,Arsenal
Bukayo Saka,/en/players/bc7dc64d/Bukayo-Saka,Arsenal
Granit Xhaka,/en/players/e61b8aee/Granit-Xhaka,Arsenal
Ben White,/en/players/35e413f1/Ben-White,Arsenal
Martin Ødegaard,/en/players/79300479/Martin-Odegaard,Arsenal
Thomas Partey,/en/players/529f49ab/Thomas-Partey,Arsenal
Oleksandr Zinchenko,/en/players/51cf8561/Oleksandr-Zinchenko,Arsenal
Takehiro Tomiyasu,/en/players/b3af9be1/Takehiro-Tomiyasu,Arsenal
Kieran Tierney,/en/players/fce2302c/Kieran-Tierney,Arsenal
Albert Sambi Lokonga,/en/players/1b4f1169/Albert-Sambi-Lokonga,Arsenal
Fabio Vieira,/en/players/6412cc03/Fabio-Vieira,Arsenal
Mohamed Elneny,/en/players/47a34c4f/Mohamed-Elneny,Arsenal
Eddie Nketiah,/en/players/a53649b7/Eddie-Nketiah,Arsenal
Reiss Nelson,/en/players/c5bdb6e3/Reiss-Nelson,Arsenal
Emile Smith Rowe,/en/players/17695062/Emile-Smith-Rowe,Arsenal
Cédric Soares,/en/players/839c14e1/Cedric-Soares,Arsenal
Rob Holding,/en/players/d79a8c87/Rob-Holding,Arsenal
Marquinhos,/en/players/59878425/Marquinhos,Arsenal
Ethan Nwaneri,/en/players/7f94982c/Ethan-Nwaneri,Arsenal
Karl Jakob Hein,/en/players/aa81d8f8/Karl-Jakob-Hein,Arsenal
Nicolas Pépé,/en/players/57e3f0c7/Nicolas-Pepe,Arsenal
Matthew Smith,/en/players/54b6eed9/Matthew-Smith,Arsenal
Lino Sousa,/en/players/e09d77a2/Lino-Sousa,Arsenal
Matt Turner,/en/players/4a51ba65/Matt-Turner,Arsenal
Emiliano Martínez,/en/players/7956236f/Emiliano-Martinez,Aston Villa
Ezri Konsa,/en/players/0313a347/Ezri-Konsa,Aston Villa
Ollie Watkins,/en/players/aed3a70f/Ollie-Watkins,Aston Villa
