player_name,team_name,current_season_minutes,season_year,season_age,season_team,season_division,season_div_level,season_minutes
Granit Xhaka,Arsenal,1436,2010,17,Basel,Swiss Super League,1,1136
Granit Xhaka,Arsenal,1436,2011,18,Basel,Swiss Super League,1,1595
Granit Xhaka,Arsenal,1436,2012,19,M'Gladbach,Bundesliga,1,1477
Granit Xhaka,Arsenal,1436,2013,20,M'Gladbach,Bundesliga,1,2023
Granit Xhaka,Arsenal,1436,2014,21,M'Gladbach,Bundesliga,1,2637
Granit Xhaka,Arsenal,1436,2015,22,M'Gladbach,Bundesliga,1,2364
Granit Xhaka,Arsenal,1436,2016,23,Arsenal,Premier League,1,2485
Granit Xhaka,Arsenal,1436,2017,24,Arsenal,Premier League,1,3260
Granit Xhaka,Arsenal,1436,2018,25,Arsenal,Premier League,1,2498
Granit Xhaka,Arsenal,1436,2019,26,Arsenal,Premier League,1,2586
Granit Xhaka,Arsenal,1436,2020,27,Arsenal,Premier League,1,2522
Granit Xhaka,Arsenal,1436,2021,28,Arsenal,Premier League,1,2327
Granit Xhaka,Arsenal,1436,2022,29,Arsenal,Premier League,1,1436
Héctor Bellerín,Arsenal,143,2013,18,Watford,Championship,2,518
Héctor Bellerín,Arsenal,143,2014,19,Arsenal,Premier League,1,1563
Héctor Bellerín,Arsenal,143,2015,20,Arsenal,Premier League,1,3240
Héctor Bellerín,Arsenal,143,2016,21,Arsenal,Premier League,1,2503
Héctor Bellerín,Arsenal,143,2017,22,Arsenal,Premier League,1,3051
Héctor Bellerín,Arsenal,143,2018,23,Arsenal,Premier League,1,1533
Héctor Bellerín,Arsenal,143,2019,24,Arsenal,Premier League,1,1158
Héctor Bellerín,Arsenal,143,2020,25,Arsenal,Premier League,1,2089
Héctor Bellerín,Arsenal,143,2021,26,Arsenal,Premier League,1,0
Héctor Bellerín,Arsenal,143,2021,26,Betis,La Liga,1,1979
Héctor Bellerín,Arsenal,143,2022,27,Barcelona,La Liga,1,143
Petr Čech,Arsenal,90,2002,20,Rennes,Ligue 1,1,3240
Petr Čech,Arsenal,90,2003,21,Rennes,Ligue 1,1,2905
Petr Čech,Arsenal,90,2004,22,Chelsea,Premier League,1,3150
Petr Čech,Arsenal,90,2005,23,Chelsea,Premier League,1,3015
Petr Čech,Arsenal,90,2006,24,Chelsea,Premier League,1,1715
Petr Čech,Arsenal,90,2007,25,Chelsea,Premier League,1,2313
Petr Čech,Arsenal,90,2008,26,Chelsea,Premier League,1,3150
Petr Čech,Arsenal,90,2009,27,Chelsea,Premier League,1,3021
Petr Čech,Arsenal,90,2010,28,Chelsea,Premier League,1,3420
Petr Čech,Arsenal,90,2011,29,Chelsea,Premier League,1,3060
Petr Čech,Arsenal,90,2012,30,Chelsea,Premier League,1,3195
Petr Čech,Arsenal,90,2013,31,Chelsea,Premier League,1,3060
Petr Čech,Arsenal,90,2014,32,Chelsea,Premier League,1,607
Petr Čech,Arsenal,90,2015,33,Arsenal,Premier League,1,3060
Petr Čech,Arsenal,90,2016,34,Arsenal,Premier League,1,3097
Petr Čech,Arsenal,90,2017,35,Arsenal,Premier League,1,3039
Petr Čech,Arsenal,90,2018,36,Arsenal,Premier League,1,584
Nacho Monreal,Arsenal,2082,2006,20,Osasuna,La Liga,1,900
Nacho Monreal,Arsenal,2082,2007,21,Osasuna,La Liga,1,2430
