player_name,player_slug,team_name,player_fbref_id
Granit Xhaka,/en/players/e61b8aee/Granit-Xhaka,Arsenal,e61b8aee
Héctor Bellerín,/en/players/f874dd44/Hector-Bellerin,Arsenal,f874dd44
Petr Čech,/en/players/71672fa0/Petr-Cech,Arsenal,71672fa0
Nacho Monreal,/en/players/d4cb83cc/Nacho-Monreal,Arsenal,d4cb83cc
Alexandre Lacazette,/en/players/9dbb75ca/Alexandre-Lacazette,Arsenal,9dbb75ca
Shkodran Mustafi,/en/players/3f2d59fe/Shkodran-Mustafi,Arsenal,3f2d59fe
Laurent Koscielny,/en/players/f5efb153/Laurent-Koscielny,Arsenal,f5efb153
Sead Kolašinac,/en/players/3935e52e/Sead-Kolasinac,Arsenal,3935e52e
Mesut Özil,/en/players/16380240/Mesut-Ozil,Arsenal,16380240
Alex Iwobi,/en/players/6ca5ec4b/Alex-Iwobi,Arsenal,6ca5ec4b
Aaron Ramsey,/en/players/ef619b0b/Aaron-Ramsey,Arsenal,ef619b0b
Alexis Sánchez,/en/players/2c0f8e9e/Alexis-Sanchez,Arsenal,2c0f8e9e
Danny Welbeck,/en/players/ce5143da/Danny-Welbeck,Arsenal,ce5143da
Jack Wilshere,/en/players/9c318325/Jack-Wilshere,Arsenal,9c318325
Pierre-Emerick Aubameyang,/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang,Arsenal,d5dd5f1f
Mohamed Elneny,/en/players/47a34c4f/Mohamed-Elneny,Arsenal,47a34c4f
Calum Chambers,/en/players/dc6f5bdd/Calum-Chambers,Arsenal,dc6f5bdd
Rob Holding,/en/players/d79a8c87/Rob-Holding,Arsenal,d79a8c87
Henrikh Mkhitaryan,/en/players/dd0daf32/Henrikh-Mkhitaryan,Arsenal,dd0daf32
Ainsley Maitland-Niles,/en/players/e3a5814e/Ainsley-Maitland-Niles,Arsenal,e3a5814e
David Ospina,/en/players/82b1198a/David-Ospina,Arsenal,82b1198a
Per Mertesacker,/en/players/5be28712/Per-Mertesacker,Arsenal,5be28712
Alex Oxlade-Chamberlain,/en/players/38c7feef/Alex-Oxlade-Chamberlain,Arsenal,38c7feef
Konstantinos Mavropanos,/en/players/00963611/Konstantinos-Mavropanos,Arsenal,00963611
Reiss Nelson,/en/players/c5bdb6e3/Reiss-Nelson,Arsenal,c5bdb6e3
Olivier Giroud,/en/players/16ceb862/Olivier-Giroud,Arsenal,16ceb862
Francis Coquelin,/en/players/a6951bf8/Francis-Coquelin,Arsenal,a6951bf8
Joe Willock,/en/players/a3b03921/Joe-Willock,Arsenal,a3b03921
Theo Walcott,/en/players/1ecb65be/Theo-Walcott,Arsenal,1ecb65be
Eddie Nketiah,/en/players/a53649b7/Eddie-Nketiah,Arsenal,a53649b7
